Nam_Type_Istoch;List_RN
BKr5.233;криптон-85
BKr5.243;криптон-85
BKr5.244;криптон-85
BKr5.256;криптон-85
BKr5.262;криптон-85
НCf2;калифорний-252
НCf2.01.03;калифорний-252
НCf2.011.1;калифорний-252
НCf2.011.11;калифорний-252
НCf2.011.13;калифорний-252
НCf2.011.3;калифорний-252
НCf2.011.6;калифорний-252
НCf2.011.7;калифорний-252
ИИР-8;иридий-192
ИМГИК;кобальт-60
ИМГИЦ;цезий-137
ИМГИЦ-1;цезий-137
ИМГИЦ-10;цезий-137
ИМГИЦ-100;цезий-137
ИМГИЦ-15;цезий-137
ИМГИЦ2-3;цезий-137
ИМГИЦ2-30;цезий-137
ИМГИЦ2-300;цезий-137
ИМГИЦ2-5;цезий-137
ИМГИЦ-250;цезий-137
ИМГИЦ2-50;цезий-137
ИМГИЦ-3;цезий-137
ИМГИЦ-30;цезий-137
ИМГИЦ-300;цезий-137
ИМГИЦ-5;цезий-137
ИМГИЦ-50;цезий-137
ИНГ;тритий
ИНГ-06-10;тритий
ИНГ-061-10;тритий
ИНГ-101ТБТ;тритий
ИНГ-10-20-120 ТБТ БТ 090076;тритий
ИНИТ;тритий
ИНИТ-1;тритий
ИНИТ-1, Т1;тритий
ИНИТ-10;тритий
ИНИТ-2;тритий
ИНИТ-2, Т2;тритий
ИНИТ-3;тритий
ИНИТ-3, Т3;тритий
ИНИТ-4;тритий
ИНИТ-4, Т4;тритий
ИНИТ-5;тритий
ИНИТ-6;тритий
ИНИТ-7;тритий
ИНИТ-8;тритий
ИНИТ-9;тритий
ИНИТ-АС-1;тритий
ИНИТ-АС-2;тритий
ИНИТ-АС-6;тритий
ИНИТ-Т1;тритий
ИНИТ-Т10;тритий
ИНИТ-Т2;тритий
ИНИТ-Т3;тритий
ИНИТ-Т4;тритий
ИНИТ-Т5;тритий
ИНИТ-Т6;тритий
ИНИТ-Т7;тритий
ИНИТ-Т8;тритий
ИНИТ-Т9;тритий
ИНК;калифорний-252
ИНК-1;калифорний-252
ИНК-10;калифорний-252
ИНК-1-3;калифорний-252
ИНК-2;калифорний-252
ИНК-3;калифорний-252
ИНК-3-6;калифорний-252
П9-492;плутоний-239
П9-493;плутоний-239
П9-494;плутоний-239
РCd9.061.3;кадмий-109
РCd9.061.4;кадмий-109
РCm4;кюрий-244
РCm4.061.1;кюрий-244
РCm4.061.2;кюрий-244
РCm4.061.3;кюрий-244
РCm4.061.х;кюрий-244
РPu8;плутоний-238
РPu8.061.2;плутоний-238
РPu8.061.X;плутоний-238
РPu8.07.2;плутоний-238
РPu8.07.3;плутоний-238
РPu8.07.X;плутоний-238
Ра;радий-226
РАИП-9-1;плутоний-239
РАИП-9-2;плутоний-239
РАП;плутоний-239
РЖ 5.03.А.К;железо-55
РЖ55;железо-55
РЖ55.З01;железо-55
РЖ55.Р;железо-55
РЖ55.Р01;железо-55
РЖ55.Р01А;железо-55
РЖ55.Р01А.А;железо-55
РЖ55.Р01В.А;железо-55
РЖ55.Р01Г.А;железо-55
РЖ55.Р01Г.В;железо-55
РЖ55.Р02;железо-55
РЖ55.Р02А;железо-55
РЖ55.Р02А.Б.;железо-55
РЖ55.Р02А.В;железо-55
РЖ55.Р02А.Ж;железо-55
РЖ55.Р02В.А;железо-55
РЖ55.Р02Г.А;железо-55
РЖ55.Р02Г.Б;железо-55
РЖ55.Р02Г.И;железо-55
РЖ55.Р02Д.5С;железо-55
СДС-1;кобальт-57
СДС-10;кобальт-57
СДС-11;кобальт-57
СДС-2;кобальт-57
СДС-3;кобальт-57
Се;селен-75
Се-6;селен-75
Се-7;селен-75
Се-8;селен-75
NA230250001U;натрий-22
NA230250010M;натрий-22
NI345000100U;никель-63
NI345000500U;никель-63
NSR;америций-241; бериллий
NSR-F;америций-241; бериллий
NSR-L;америций-241; бериллий
NSR-M;америций-241; бериллий
NSR-T;америций-241; бериллий
NSR-U;америций-241; бериллий
PA-11-40;радий-226
PA-12-43;радий-226
PA-16-318;радий-226
PHC;прометий-147
PHC.80952;прометий-147
PHC.80955;прометий-147
PHCB.1861;прометий-147
PHCK6317;прометий-147
PHCX.1385;прометий-147
PHG153M;гадолиний-153
PHG153M13.140;гадолиний-153
PHG153M13.410;гадолиний-153
PHILIPS Q4;кобальт-60
PHILIPS Q4583;кобальт-60
PHILIPS Q4583S;кобальт-60
PHILIPS Q4675;кобальт-60
PM7;прометий-147
PM738820003M;прометий-147
PM738820005M;прометий-147
PM738820009M;прометий-147
PM738820024M;прометий-147
PM738820900U;прометий-147
PM738821200U;прометий-147
QB;стронций-90; иттрий-90
R 6150;цезий-137
R 6160;цезий-137
Ra;радий-226
Ra-14;радий-226
RSL;кобальт-60
RSL /ALI2003;кобальт-60
RSL 05268A;кобальт-60
RSL 1700;америций-241
RSL 1701;америций-241
RSL 1800;кобальт-60
RSL 1920;кобальт-60
RSL 2010;кобальт-60
RSL 2020;кобальт-60
RSL 2089;кобальт-60
RSL 6000;цезий-137
RSL 6010;цезий-137
RSL 6020;цезий-137
RSL 6030;цезий-137
MCo7.185;кобальт-57
BNi3.C4.1;никель-63
BNi3.C4.2;никель-63
BNi3.C5;никель-63
BNi3.C5.1;никель-63
BNi3.C6;никель-63
BNi3.C6.1;никель-63
